"Year","Geography","DGUID","Age_Group","Gender","Indicators","Number.of.persons","Low.95..confidence.interval..number.of.persons","High.95..confidence.interval..number.of.persons","Coefficient.of.variation.for.number.of.persons","Percent","Low.95..confidence.interval..percent","High.95..confidence.interval..percent","Coefficient.of.variation.for.percent"
2002,"Canada","2021A000011124","45-64 years","Total, gender of person","Suicidal thoughts, life",1030030,960142,1099917,35,13.5,12.6,14.4,35
2002,"Canada","2021A000011124","45-64 years","Total, gender of person","Suicidal thoughts, 12 months",259805,212867,306744,92,3.4,2.8,4,92
2002,"Canada","2021A000011124","45-64 years","Total, gender of person","Eating disorder, current diagnosed condition",26088,14831,37345,220,0.3,0.2,0.5,220
2002,"Canada","2021A000011124","45-64 years","Men+","Major depressive episode, life",402547,349872,455223,67,10.7,9.3,12.1,67
2002,"Canada","2021A000011124","45-64 years","Men+","Suicidal thoughts, life",467878,419854,515901,52,12.4,11.1,13.7,52
2002,"Canada","2021A000011124","45-64 years","Men+","Suicidal thoughts, 12 months",142113,109225,175000,118,3.8,2.9,4.6,118
2002,"Canada","2021A000011124","45-64 years","Women+","Major depressive episode, life",678419,622085,734752,42,17.7,16.2,19.2,42
2002,"Canada","2021A000011124","45-64 years","Women+","Suicidal thoughts, life",562152,511213,613091,46,14.6,13.3,15.9,46
2002,"Canada","2021A000011124","45-64 years","Women+","Suicidal thoughts, 12 months",117693,87211,148174,132,3.1,2.3,3.9,132
2002,"Canada","2021A000011124","45-64 years","Women+","Eating disorder, current diagnosed condition",22364,11858,32870,240,0.6,0.3,0.9,240
2002,"Canada","2021A000011124","65+ years","Total, gender of person","Major depressive episode, life",242896,213918,271873,61,6.6,5.8,7.4,61
2002,"Canada","2021A000011124","65+ years","Total, gender of person","Suicidal thoughts, life",230887,193080,268695,84,6.2,5.2,7.2,84
2002,"Canada","2021A000011124","65+ years","Total, gender of person","Suicidal thoughts, 12 months",62027,31228,92826,253,1.7,0.8,2.5,253
2002,"Canada","2021A000011124","65+ years","Men+","Major depressive episode, life",90637,70856,110418,111,5.6,4.4,6.8,111
2002,"Canada","2021A000011124","65+ years","Men+","Suicidal thoughts, life",92744,75580,109907,94,5.7,4.6,6.7,94
2002,"Canada","2021A000011124","65+ years","Men+","Suicidal thoughts, 12 months",20804,12587,29022,202,1.3,0.8,1.8,202
2002,"Canada","2021A000011124","65+ years","Women+","Major depressive episode, life",152259,130322,174195,74,7.4,6.4,8.5,73
2002,"Canada","2021A000011124","65+ years","Women+","Suicidal thoughts, life",138143,104437,171849,125,6.6,5,8.2,125
2002,"Atlantic Provinces","2021A00011","Total 15++ Years","Total, gender of person","Major depressive episode, life",204631,186557,222704,45,10.7,9.8,11.7,45
2002,"Atlantic Provinces","2021A00011","Total 15++ Years","Total, gender of person","Suicidal thoughts, life",216982,199685,234279,41,11.3,10.4,12.2,41
2002,"Atlantic Provinces","2021A00011","Total 15++ Years","Total, gender of person","Suicidal thoughts, 12 months",55585,46029,65141,88,2.9,2.4,3.4,88
2002,"Atlantic Provinces","2021A00011","Total 15++ Years","Total, gender of person","Eating disorder, current diagnosed condition",6068,3074,9061,252,0.3,0.2,0.5,252
2002,"Atlantic Provinces","2021A00011","Total 15++ Years","Men+","Major depressive episode, life",69712,58616,80808,81,7.5,6.3,8.7,81
2002,"Atlantic Provinces","2021A00011","Total 15++ Years","Men+","Suicidal thoughts, life",94268,82816,105721,62,10.1,8.9,11.4,62
2002,"Atlantic Provinces","2021A00011","Total 15++ Years","Men+","Suicidal thoughts, 12 months",28062,21437,34687,121,3,2.3,3.7,121
2002,"Atlantic Provinces","2021A00011","Total 15++ Years","Women+","Major depressive episode, life",134919,120563,149274,54,13.8,12.3,15.2,54
2002,"Atlantic Provinces","2021A00011","Total 15++ Years","Women+","Suicidal thoughts, life",122713,109780,135647,54,12.5,11.2,13.8,54
2002,"Atlantic Provinces","2021A00011","Total 15++ Years","Women+","Suicidal thoughts, 12 months",27523,20818,34229,124,2.8,2.1,3.5,124
2002,"Atlantic Provinces","2021A00011","Total 15++ Years","Women+","Eating disorder, current diagnosed condition",3988,1605,6372,305,0.4,0.2,0.6,305
2002,"Atlantic Provinces","2021A00011","15-24 Years","Total, gender of person","Major depressive episode, life",23109,17251,28967,129,7.3,5.5,9.2,129
2002,"Atlantic Provinces","2021A00011","15-24 Years","Total, gender of person","Suicidal thoughts, life",42365,34280,50450,97,13.4,10.8,15.9,98
2002,"Atlantic Provinces","2021A00011","15-24 Years","Total, gender of person","Suicidal thoughts, 12 months",15424,9977,20872,180,4.9,3.2,6.6,180
2002,"Atlantic Provinces","2021A00011","15-24 Years","Men+","Major depressive episode, life",5809,2920,8698,254,3.6,1.8,5.4,254
2002,"Atlantic Provinces","2021A00011","15-24 Years","Men+","Suicidal thoughts, life",16883,12222,21544,141,10.5,7.6,13.5,141
2002,"Atlantic Provinces","2021A00011","15-24 Years","Men+","Suicidal thoughts, 12 months",7199,3917,10482,233,4.5,2.4,6.5,233
2002,"Atlantic Provinces","2021A00011","15-24 Years","Women+","Major depressive episode, life",17300,12370,22230,145,11.1,7.9,14.2,145
2002,"Atlantic Provinces","2021A00011","15-24 Years","Women+","Suicidal thoughts, life",25482,19118,31845,127,16.3,12.2,20.4,127
2002,"Atlantic Provinces","2021A00011","15-24 Years","Women+","Suicidal thoughts, 12 months",8225,3794,12656,275,5.3,2.4,8.1,275
2002,"Atlantic Provinces","2021A00011","25-44 years","Total, gender of person","Major depressive episode, life",89326,76328,102323,74,12.9,11,14.7,74
2002,"Atlantic Provinces","2021A00011","25-44 years","Total, gender of person","Suicidal thoughts, life",84547,73374,95719,67,12.2,10.6,13.8,67
2002,"Atlantic Provinces","2021A00011","25-44 years","Total, gender of person","Suicidal thoughts, 12 months",21590,15894,27287,135,3.1,2.3,3.9,135
2002,"Atlantic Provinces","2021A00011","25-44 years","Total, gender of person","Eating disorder, current diagnosed condition",4168,1480,6856,329,0.6,0.2,1,329
2002,"Atlantic Provinces","2021A00011","25-44 years","Men+","Major depressive episode, life",30350,21576,39123,148,8.9,6.3,11.5,148
2002,"Atlantic Provinces","2021A00011","25-44 years","Men+","Suicidal thoughts, life",40375,32300,48450,102,11.8,9.5,14.2,102
2002,"Atlantic Provinces","2021A00011","25-44 years","Men+","Suicidal thoughts, 12 months",12110,7492,16727,195,3.6,2.2,4.9,195
2002,"Atlantic Provinces","2021A00011","25-44 years","Women+","Major depressive episode, life",58976,49821,68131,79,16.7,14.1,19.3,79
2002,"Atlantic Provinces","2021A00011","25-44 years","Women+","Suicidal thoughts, life",44171,36618,51725,87,12.5,10.3,14.6,87
2002,"Atlantic Provinces","2021A00011","25-44 years","Women+","Suicidal thoughts, 12 months",9481,6061,12900,184,2.7,1.7,3.6,184
2002,"Atlantic Provinces","2021A00011","45-64 years","Total, gender of person","Major depressive episode, life",79330,68473,90187,70,13,11.2,14.7,70
2002,"Atlantic Provinces","2021A00011","45-64 years","Total, gender of person","Suicidal thoughts, life",76137,66676,85597,63,12.4,10.9,14,63
2002,"Atlantic Provinces","2021A00011","45-64 years","Total, gender of person","Suicidal thoughts, 12 months",16794,11707,21881,155,2.7,1.9,3.6,155
2002,"Atlantic Provinces","2021A00011","45-64 years","Men+","Major depressive episode, life",29796,23362,36231,110,9.8,7.7,11.9,110
2002,"Atlantic Provinces","2021A00011","45-64 years","Men+","Suicidal thoughts, life",31787,24999,38574,109,10.5,8.2,12.7,109
2002,"Atlantic Provinces","2021A00011","45-64 years","Men+","Suicidal thoughts, 12 months",8185,4867,11503,207,2.7,1.6,3.8,207
2002,"Atlantic Provinces","2021A00011","45-64 years","Women+","Major depressive episode, life",49533,40593,58474,92,16.1,13.2,19,92
2002,"Atlantic Provinces","2021A00011","45-64 years","Women+","Suicidal thoughts, life",44350,37144,51556,83,14.4,12,16.7,83
2002,"Atlantic Provinces","2021A00011","45-64 years","Women+","Suicidal thoughts, 12 months",8608,4855,12362,222,2.8,1.6,4,223
2002,"Atlantic Provinces","2021A00011","65+ years","Total, gender of person","Major depressive episode, life",12866,9412,16321,137,4.5,3.3,5.7,137
2002,"Atlantic Provinces","2021A00011","65+ years","Total, gender of person","Suicidal thoughts, life",13933,9289,18578,170,4.8,3.2,6.4,170
2002,"Atlantic Provinces","2021A00011","65+ years","Men+","Major depressive episode, life",3757,1614,5900,291,3,1.3,4.8,291
2002,"Atlantic Provinces","2021A00011","65+ years","Men+","Suicidal thoughts, life",5223,2113,8333,304,4.2,1.7,6.7,304
2002,"Atlantic Provinces","2021A00011","65+ years","Women+","Major depressive episode, life",9109,6231,11987,161,5.6,3.8,7.4,161
2002,"Atlantic Provinces","2021A00011","65+ years","Women+","Suicidal thoughts, life",8710,5439,11981,192,5.3,3.3,7.3,192
2002,"Newfoundland and Labrador","2021A000210","Total 15++ Years","Total, gender of person","Major depressive episode, life",35168,29160,41175,87,8,6.7,9.4,87
2002,"Newfoundland and Labrador","2021A000210","Total 15++ Years","Total, gender of person","Suicidal thoughts, life",35101,28346,41856,98,8,6.5,9.5,98
2002,"Newfoundland and Labrador","2021A000210","Total 15++ Years","Total, gender of person","Suicidal thoughts, 12 months",9071,5928,12214,177,2.1,1.4,2.8,177
2002,"Newfoundland and Labrador","2021A000210","Total 15++ Years","Men+","Major depressive episode, life",11467,7805,15130,163,5.3,3.6,7,163
2002,"Newfoundland and Labrador","2021A000210","Total 15++ Years","Men+","Suicidal thoughts, life",13218,8731,17705,173,6.1,4.1,8.2,173
2002,"Newfoundland and Labrador","2021A000210","Total 15++ Years","Men+","Suicidal thoughts, 12 months",4078,1748,6409,292,1.9,0.8,3,292
2002,"Newfoundland and Labrador","2021A000210","Total 15++ Years","Women+","Major depressive episode, life",23700,19015,28386,101,10.6,8.5,12.7,101
2002,"Newfoundland and Labrador","2021A000210","Total 15++ Years","Women+","Suicidal thoughts, life",21883,16894,26872,116,9.8,7.6,12,116
2002,"Newfoundland and Labrador","2021A000210","Total 15++ Years","Women+","Suicidal thoughts, 12 months",4993,2816,7170,223,2.2,1.3,3.2,222
2002,"Newfoundland and Labrador","2021A000210","15-24 Years","Total, gender of person","Major depressive episode, life",7382,4330,10434,211,9.8,5.8,13.9,211
2002,"Newfoundland and Labrador","2021A000210","15-24 Years","Total, gender of person","Suicidal thoughts, life",8586,5063,12109,209,11.4,6.7,16.1,209
2002,"Newfoundland and Labrador","2021A000210","15-24 Years","Total, gender of person","Suicidal thoughts, 12 months",2617,924,4310,330,3.5,1.2,5.7,330
2002,"Newfoundland and Labrador","2021A000210","15-24 Years","Women+","Major depressive episode, life",5069,2767,7372,232,13.6,7.4,19.8,232
2002,"Newfoundland and Labrador","2021A000210","15-24 Years","Women+","Suicidal thoughts, life",5845,3282,8408,224,15.7,8.8,22.6,224
2002,"Newfoundland and Labrador","2021A000210","25-44 years","Total, gender of person","Major depressive episode, life",12919,9144,16694,149,8.1,5.7,10.4,149
2002,"Newfoundland and Labrador","2021A000210","25-44 years","Total, gender of person","Suicidal thoughts, life",12761,8567,16955,168,8,5.4,10.6,168
2002,"Newfoundland and Labrador","2021A000210","25-44 years","Total, gender of person","Suicidal thoughts, 12 months",2815,1034,4595,323,1.8,0.6,2.9,323
2002,"Newfoundland and Labrador","2021A000210","25-44 years","Men+","Major depressive episode, life",4314,1718,6911,307,5.5,2.2,8.8,307
2002,"Newfoundland and Labrador","2021A000210","25-44 years","Men+","Suicidal thoughts, life",5176,2170,8181,296,6.6,2.8,10.4,296
2002,"Newfoundland and Labrador","2021A000210","25-44 years","Women+","Major depressive episode, life",8605,5657,11553,175,10.6,7,14.2,175
2002,"Newfoundland and Labrador","2021A000210","25-44 years","Women+","Suicidal thoughts, life",7585,4549,10621,204,9.4,5.6,13.1,204
2002,"Newfoundland and Labrador","2021A000210","45-64 years","Total, gender of person","Major depressive episode, life",13367,9553,17180,146,9.3,6.7,12,146
2002,"Newfoundland and Labrador","2021A000210","45-64 years","Total, gender of person","Suicidal thoughts, life",12248,8447,16049,158,8.6,5.9,11.2,158
2002,"Newfoundland and Labrador","2021A000210","45-64 years","Total, gender of person","Suicidal thoughts, 12 months",3640,1629,5651,282,2.5,1.1,4,282
2002,"Newfoundland and Labrador","2021A000210","45-64 years","Men+","Major depressive episode, life",4841,2593,7088,237,6.8,3.6,9.9,237
2002,"Newfoundland and Labrador","2021A000210","45-64 years","Men+","Suicidal thoughts, life",4565,2241,6890,260,6.4,3.1,9.7,260
2002,"Newfoundland and Labrador","2021A000210","45-64 years","Women+","Major depressive episode, life",8526,5446,11606,184,11.9,7.6,16.2,184
2002,"Newfoundland and Labrador","2021A000210","45-64 years","Women+","Suicidal thoughts, life",7682,4657,10707,201,10.7,6.5,14.9,201
2002,"Prince Edward Island","2021A000211","Total 15++ Years","Total, gender of person","Major depressive episode, life",9002,7064,10941,110,8.1,6.3,9.8,110
2002,"Prince Edward Island","2021A000211","Total 15++ Years","Total, gender of person","Suicidal thoughts, life",10935,8506,13365,113,9.8,7.6,12,113
2002,"Prince Edward Island","2021A000211","Total 15++ Years","Total, gender of person","Suicidal thoughts, 12 months",3017,1689,4345,225,2.7,1.5,3.9,224
2002,"Prince Edward Island","2021A000211","Total 15++ Years","Men+","Major depressive episode, life",3369,2006,4733,207,6.2,3.7,8.7,206
2002,"Prince Edward Island","2021A000211","Total 15++ Years","Men+","Suicidal thoughts, life",4098,2604,5592,186,7.5,4.8,10.3,186
2002,"Prince Edward Island","2021A000211","Total 15++ Years","Women+","Major depressive episode, life",5633,4265,7000,124,9.9,7.5,12.3,123
2002,"Prince Edward Island","2021A000211","Total 15++ Years","Women+","Suicidal thoughts, life",6837,5069,8605,132,11.9,8.8,15,132
2002,"Prince Edward Island","2021A000211","Total 15++ Years","Women+","Suicidal thoughts, 12 months",1583,814,2351,248,2.8,1.4,4.1,248
2002,"Prince Edward Island","2021A000211","15-24 Years","Total, gender of person","Suicidal thoughts, life",1667,821,2512,259,8.3,4.1,12.5,259
2002,"Prince Edward Island","2021A000211","25-44 years","Total, gender of person","Major depressive episode, life",3791,2513,5068,172,9.5,6.3,12.7,172
2002,"Prince Edward Island","2021A000211","25-44 years","Total, gender of person","Suicidal thoughts, life",4410,2921,5899,172,11.1,7.3,14.8,172
2002,"Prince Edward Island","2021A000211","25-44 years","Total, gender of person","Suicidal thoughts, 12 months",1671,619,2724,321,4.2,1.6,6.8,321
2002,"Prince Edward Island","2021A000211","25-44 years","Men+","Major depressive episode, life",1512,588,2437,312,7.7,3,12.3,312
2002,"Prince Edward Island","2021A000211","25-44 years","Men+","Suicidal thoughts, life",1730,691,2769,306,8.8,3.5,14.2,306
2002,"Prince Edward Island","2021A000211","25-44 years","Women+","Major depressive episode, life",2279,1354,3203,207,11.3,6.7,15.9,207
2002,"Prince Edward Island","2021A000211","25-44 years","Women+","Suicidal thoughts, life",2680,1684,3676,190,13.2,8.3,18.1,190
2002,"Prince Edward Island","2021A000211","45-64 years","Total, gender of person","Major depressive episode, life",3727,2471,4982,172,10.8,7.1,14.4,172
2002,"Prince Edward Island","2021A000211","45-64 years","Total, gender of person","Suicidal thoughts, life",3713,2376,5050,184,10.7,6.9,14.6,184
2002,"Prince Edward Island","2021A000211","45-64 years","Men+","Suicidal thoughts, life",1529,595,2462,312,8.9,3.5,14.3,312
2002,"Prince Edward Island","2021A000211","45-64 years","Women+","Major depressive episode, life",2536,1558,3514,197,14.5,8.9,20.1,197
2002,"Prince Edward Island","2021A000211","45-64 years","Women+","Suicidal thoughts, life",2184,1085,3284,257,12.6,6.2,18.9,257
2002,"Nova Scotia","2021A000212","Total 15++ Years","Total, gender of person","Major depressive episode, life",89344,76257,102431,75,11.9,10.1,13.6,75
2002,"Nova Scotia","2021A000212","Total 15++ Years","Total, gender of person","Suicidal thoughts, life",94572,82000,107145,68,12.5,10.9,14.2,68
2002,"Nova Scotia","2021A000212","Total 15++ Years","Total, gender of person","Suicidal thoughts, 12 months",24897,17783,32011,146,3.3,2.4,4.2,146
2002,"Nova Scotia","2021A000212","Total 15++ Years","Men+","Major depressive episode, life",26918,18471,35366,160,7.4,5.1,9.8,160
2002,"Nova Scotia","2021A000212","Total 15++ Years","Men+","Suicidal thoughts, life",41526,33876,49176,94,11.4,9.3,13.5,94
2002,"Nova Scotia","2021A000212","Total 15++ Years","Men+","Suicidal thoughts, 12 months",13372,8776,17967,175,3.7,2.4,4.9,175
2002,"Nova Scotia","2021A000212","Total 15++ Years","Women+","Major depressive episode, life",62426,51703,73149,88,16,13.2,18.7,88
2002,"Nova Scotia","2021A000212","Total 15++ Years","Women+","Suicidal thoughts, life",53047,43119,62974,96,13.5,11,16.1,96
2002,"Nova Scotia","2021A000212","Total 15++ Years","Women+","Suicidal thoughts, 12 months",11525,6373,16677,228,2.9,1.6,4.3,228
2002,"Nova Scotia","2021A000212","15-24 Years","Total, gender of person","Major depressive episode, life",8405,4574,12236,233,6.8,3.7,10,233
2002,"Nova Scotia","2021A000212","15-24 Years","Total, gender of person","Suicidal thoughts, life",15493,10375,20611,169,12.6,8.4,16.8,169
2002,"Nova Scotia","2021A000212","15-24 Years","Total, gender of person","Suicidal thoughts, 12 months",7334,3169,11498,290,6,2.6,9.3,290
2002,"Nova Scotia","2021A000212","15-24 Years","Men+","Suicidal thoughts, life",5848,3229,8467,229,9.4,5.2,13.7,229
2002,"Nova Scotia","2021A000212","15-24 Years","Men+","Suicidal thoughts, 12 months",3792,1474,6111,312,6.1,2.4,9.9,312
2002,"Nova Scotia","2021A000212","15-24 Years","Women+","Major depressive episode, life",6779,3266,10292,264,11.1,5.3,16.8,264
2002,"Nova Scotia","2021A000212","15-24 Years","Women+","Suicidal thoughts, life",9645,5297,13992,230,15.8,8.7,22.9,230
2002,"Nova Scotia","2021A000212","25-44 years","Total, gender of person","Major depressive episode, life",43246,33717,52774,112,15.9,12.4,19.4,112
2002,"Nova Scotia","2021A000212","25-44 years","Total, gender of person","Suicidal thoughts, life",36315,29293,43336,99,13.3,10.7,15.9,99
2002,"Nova Scotia","2021A000212","25-44 years","Total, gender of person","Suicidal thoughts, 12 months",7330,4076,10583,227,2.7,1.5,3.9,227
2002,"Nova Scotia","2021A000212","25-44 years","Men+","Major depressive episode, life",12883,6330,19435,260,9.8,4.8,14.7,260
2002,"Nova Scotia","2021A000212","25-44 years","Men+","Suicidal thoughts, life",17096,12265,21927,144,12.9,9.3,16.6,144
2002,"Nova Scotia","2021A000212","25-44 years","Men+","Suicidal thoughts, 12 months",4905,1919,7892,311,3.7,1.5,6,311
2002,"Nova Scotia","2021A000212","25-44 years","Women+","Major depressive episode, life",30363,23599,37128,114,21.6,16.8,26.5,114
2002,"Nova Scotia","2021A000212","25-44 years","Women+","Suicidal thoughts, life",19219,13817,24621,143,13.7,9.8,17.5,143
2002,"Nova Scotia","2021A000212","25-44 years","Women+","Suicidal thoughts, 12 months",2424,1141,3707,270,1.7,0.8,2.6,270
2002,"Nova Scotia","2021A000212","45-64 years","Total, gender of person","Major depressive episode, life",34670,26896,42445,114,14.4,11.2,17.6,114
2002,"Nova Scotia","2021A000212","45-64 years","Total, gender of person","Suicidal thoughts, life",36337,28953,43720,104,15.1,12,18.2,104
2002,"Nova Scotia","2021A000212","45-64 years","Total, gender of person","Suicidal thoughts, 12 months",9123,4870,13376,238,3.8,2,5.6,238
2002,"Nova Scotia","2021A000212","45-64 years","Men+","Major depressive episode, life",11750,7428,16072,188,9.9,6.3,13.6,188
2002,"Nova Scotia","2021A000212","45-64 years","Men+","Suicidal thoughts, life",16002,10712,21293,169,13.5,9,18,169
2002,"Nova Scotia","2021A000212","45-64 years","Men+","Suicidal thoughts, 12 months",4404,1791,7018,303,3.7,1.5,5.9,303
2002,"Nova Scotia","2021A000212","45-64 years","Women+","Major depressive episode, life",22920,16152,29688,151,18.8,13.2,24.3,151
2002,"Nova Scotia","2021A000212","45-64 years","Women+","Suicidal thoughts, life",20335,14675,25994,142,16.6,12,21.3,142
2002,"Nova Scotia","2021A000212","65+ years","Total, gender of person","Major depressive episode, life",3023,1516,4529,254,2.6,1.3,3.9,254
2002,"Nova Scotia","2021A000212","65+ years","Total, gender of person","Suicidal thoughts, life",6428,3188,9667,257,5.4,2.7,8.2,257
2002,"Nova Scotia","2021A000212","65+ years","Women+","Major depressive episode, life",2364,992,3736,296,3.5,1.5,5.5,296
2002,"Nova Scotia","2021A000212","65+ years","Women+","Suicidal thoughts, life",3848,1809,5887,270,5.7,2.7,8.7,270
2002,"New Brunswick","2021A000213","Total 15++ Years","Total, gender of person","Major depressive episode, life",71117,61070,81163,72,11.7,10.1,13.4,72
2002,"New Brunswick","2021A000213","Total 15++ Years","Total, gender of person","Suicidal thoughts, life",76373,65979,86767,69,12.6,10.9,14.3,69
2002,"New Brunswick","2021A000213","Total 15++ Years","Total, gender of person","Suicidal thoughts, 12 months",18600,13096,24105,151,3.1,2.2,4,151
2002,"New Brunswick","2021A000213","Total 15++ Years","Men+","Major depressive episode, life",27957,21442,34473,119,9.4,7.2,11.6,119
2002,"New Brunswick","2021A000213","Total 15++ Years","Men+","Suicidal thoughts, life",35427,28026,42828,107,11.9,9.4,14.4,107
2002,"New Brunswick","2021A000213","Total 15++ Years","Men+","Suicidal thoughts, 12 months",9177,5255,13100,218,3.1,1.8,4.4,218
2002,"New Brunswick","2021A000213","Total 15++ Years","Women+","Major depressive episode, life",43160,35959,50360,85,13.9,11.6,16.2,85
2002,"New Brunswick","2021A000213","Total 15++ Years","Women+","Suicidal thoughts, life",40947,33693,48200,90,13.2,10.8,15.5,90
2002,"New Brunswick","2021A000213","Total 15++ Years","Women+","Suicidal thoughts, 12 months",9423,5730,13115,200,3,1.8,4.2,200
2002,"New Brunswick","2021A000213","15-24 Years","Total, gender of person","Major depressive episode, life",6418,3579,9257,226,6.5,3.6,9.4,226
2002,"New Brunswick","2021A000213","15-24 Years","Total, gender of person","Suicidal thoughts, life",16620,11725,21514,150,16.9,11.9,21.9,150
2002,"New Brunswick","2021A000213","15-24 Years","Total, gender of person","Suicidal thoughts, 12 months",5089,2099,8079,300,5.2,2.1,8.2,300
2002,"New Brunswick","2021A000213","15-24 Years","Men+","Suicidal thoughts, life",7816,4644,10989,207,15.6,9.3,22,207
2002,"New Brunswick","2021A000213","15-24 Years","Women+","Major depressive episode, life",5052,2600,7504,248,10.5,5.4,15.6,248
2002,"New Brunswick","2021A000213","15-24 Years","Women+","Suicidal thoughts, life",8803,5161,12446,211,18.3,10.7,25.8,211
2002,"New Brunswick","2021A000213","25-44 years","Total, gender of person","Major depressive episode, life",29370,21972,36768,129,13.2,9.9,16.5,129
2002,"New Brunswick","2021A000213","25-44 years","Total, gender of person","Suicidal thoughts, life",31061,24102,38020,114,13.9,10.8,17.1,114
2002,"New Brunswick","2021A000213","25-44 years","Total, gender of person","Suicidal thoughts, 12 months",9775,5512,14038,223,4.4,2.5,6.3,223
